date,price,market_cap,volume,cryptocurrency,symbol,percent_change_24h
2019-11-01,13819.6926,262574159068.88,131184792.54,Bitcoin,BTC,-7.757
2019-12-01,13547.1162,257395207899.97,829621958.89,Bitcoin,BTC,-1.9724
2020-01-01,16136.7328,306597923946.09,118883150.92,Bitcoin,BTC,19.1156
2020-02-01,18171.1925,345252656665.35,903336311.53,Bitcoin,BTC,12.6076
2020-03-01,17432.5753,331218930029.98,239715736.02,Bitcoin,BTC,-4.0648
2020-04-01,18704.125,355378375914.05,503682972.14,Bitcoin,BTC,7.2941
2020-05-01,18974.9139,360523363575.1,715096918.96,Bitcoin,BTC,1.4477
2020-06-01,16802.4936,319247378960.84,439224085.81,Bitcoin,BTC,-11.4489
2020-07-01,17903.1167,340159218191.19,482461606.75,Bitcoin,BTC,6.5504
2020-08-01,16862.7464,320392181972.58,830096167.86,Bitcoin,BTC,-5.8111
2020-09-01,17971.9821,341467660391.88,496742014.71,Bitcoin,BTC,6.578
2020-10-01,16777.7311,318776891741.48,22236408.89,Bitcoin,BTC,-6.6451
2020-11-01,16275.2777,309230277158.49,188338064.44,Bitcoin,BTC,-2.9948
2020-12-01,16323.6972,310150247604.6,347254501.32,Bitcoin,BTC,0.2975
2021-01-01,50769.4833,964620181850.22,556040814.2,Bitcoin,BTC,211.0171
2021-02-01,52941.3166,1005885014988.06,43591075.72,Bitcoin,BTC,4.2778
2021-03-01,52861.9861,1004377734976.84,283922374.48,Bitcoin,BTC,-0.1498
2021-04-01,48776.0924,926745755208.96,871516367.53,Bitcoin,BTC,-7.7294
2021-05-01,53556.1487,1017566825802.26,966457667.31,Bitcoin,BTC,9.8
2021-06-01,46641.0443,886179841688.33,69072022.5,Bitcoin,BTC,-12.9119
2021-07-01,45383.0898,862278705861.89,443340442.75,Bitcoin,BTC,-2.6971
2021-08-01,49932.6095,948719580065.28,911789235.32,Bitcoin,BTC,10.0247
2021-09-01,46436.1218,882286314564.9,130883358.59,Bitcoin,BTC,-7.0024
2021-10-01,47351.2126,899673038952.76,560017473.28,Bitcoin,BTC,1.9706
2021-11-01,48632.6875,924021061733.99,21017627.37,Bitcoin,BTC,2.7063
2021-12-01,45024.2856,855461426637.56,97257633.31,Bitcoin,BTC,-7.4197
2022-01-01,32265.4292,613043154974.36,124626413.66,Bitcoin,BTC,-28.3377
2022-02-01,29326.856,557210264184.29,813446874.28,Bitcoin,BTC,-9.1075
2022-03-01,27605.4989,524504478254.69,482140497.6,Bitcoin,BTC,-5.8696
2022-04-01,27632.7981,525023164045.26,483020924.44,Bitcoin,BTC,0.0989
2022-05-01,31226.0902,593295714305.34,541230729.17,Bitcoin,BTC,13.0037
2022-06-01,31144.755,591750345700.47,878369213.33,Bitcoin,BTC,-0.2605
2022-07-01,32784.0018,622896033594.39,959919070.34,Bitcoin,BTC,5.2633
2022-08-01,28318.2089,538045968449.89,537090176.16,Bitcoin,BTC,-13.6219
2022-09-01,28090.7328,533723923157.13,2561848.25,Bitcoin,BTC,-0.8033
2022-10-01,27880.135,529722565028.63,485646794.46,Bitcoin,BTC,-0.7497
2022-11-01,30536.7221,580197719262.33,922463503.57,Bitcoin,BTC,9.5286
2022-12-01,27016.943,513321917214.19,865834803.97,Bitcoin,BTC,-11.5264
2023-01-01,32052.7358,609001980129.65,706040402.77,Bitcoin,BTC,18.6394
2023-02-01,31749.2765,603236252856.56,961689621.37,Bitcoin,BTC,-0.9468
2023-03-01,31987.3599,607759837467.92,712482265.84,Bitcoin,BTC,0.7499
2023-04-01,37492.7473,712362197764.84,227572025.29,Bitcoin,BTC,17.2111
2023-05-01,36182.9007,687475112440.3,43943565.54,Bitcoin,BTC,-3.4936
2023-06-01,37600.0465,714400884429.12,775481044.19,Bitcoin,BTC,3.9166
2023-07-01,32213.7171,612060625173.45,216890248.0,Bitcoin,BTC,-14.3253
2023-08-01,38349.6852,728644019705.08,665982815.93,Bitcoin,BTC,19.0477
2023-09-01,33197.307,630748832473.84,598245085.73,Bitcoin,BTC,-13.4353
2023-10-01,33239.5494,631551439241.62,951344305.64,Bitcoin,BTC,0.1272
2023-11-01,36124.4864,686365242491.8,839352384.68,Bitcoin,BTC,8.6792
2023-12-01,35962.84,683293959505.1,895058567.15,Bitcoin,BTC,-0.4475
2024-01-01,34049.5891,646942193192.54,710359823.49,Bitcoin,BTC,-5.3201
2024-02-01,38991.8156,740844496716.33,711024926.36,Bitcoin,BTC,14.5148
2024-03-01,39195.5475,744715401791.08,109793438.68,Bitcoin,BTC,0.5225
2024-04-01,37494.8144,712401474380.01,433416901.33,Bitcoin,BTC,-4.3391
2024-05-01,36044.7713,684850654666.28,766576126.71,Bitcoin,BTC,-3.8673
2024-06-01,38879.9569,738719181648.27,897665661.8,Bitcoin,BTC,7.8657
2024-07-01,34332.9823,652326663867.53,902861008.66,Bitcoin,BTC,-11.6949
2024-08-01,33821.3616,642605870963.56,640111729.7,Bitcoin,BTC,-1.4902
2024-09-01,39018.2265,741346303984.35,757738221.38,Bitcoin,BTC,15.3656
2024-10-01,36933.6338,701739042158.41,731145292.45,Bitcoin,BTC,-5.3426
2024-11-01,36966.2832,702359380125.68,72469130.4,Bitcoin,BTC,0.0884
2024-12-01,33882.419,643765961513.67,722605018.77,Bitcoin,BTC,-8.3424
2025-01-01,41450.564,787560716038.08,361576535.24,Bitcoin,BTC,22.3365
2025-02-01,37454.5905,711637218838.98,170619613.0,Bitcoin,BTC,-9.6403
2025-03-01,36557.4729,694591985836.29,981672408.99,Bitcoin,BTC,-2.3952
2025-04-01,37496.1112,712426112210.87,84059355.61,Bitcoin,BTC,2.5676
2025-05-01,42978.1848,816585510747.31,318961818.41,Bitcoin,BTC,14.6204
2025-06-01,40823.1855,775640524484.29,363040328.75,Bitcoin,BTC,-5.0142
2025-07-01,36408.3042,691757779881.85,181245724.94,Bitcoin,BTC,-10.8146
2025-08-01,37912.0433,720328823577.93,904338162.87,Bitcoin,BTC,4.1302
2025-09-01,38552.4845,732497204898.88,401293410.02,Bitcoin,BTC,1.6893
2025-10-01,36116.9612,686222261952.24,530468856.98,Bitcoin,BTC,-6.3174
2025-11-01,42979.2527,816605801321.79,536969136.94,Bitcoin,BTC,19.0002
2025-12-01,39302.7092,746751474122.45,371999824.33,Bitcoin,BTC,-8.5542
2026-01-01,38361.9821,728877660393.58,521829877.0,Bitcoin,BTC,-2.3935
2026-02-01,42872.0785,814569491420.94,281170535.96,Bitcoin,BTC,11.7567
2026-03-01,38562.582,732689057910.22,342425324.1,Bitcoin,BTC,-10.052
2026-04-01,42856.9921,814282849209.15,416746984.45,Bitcoin,BTC,11.1362
2026-05-01,45806.7534,870328314780.42,316507489.85,Bitcoin,BTC,6.8828
2026-06-01,40293.7399,765581058498.57,867923986.61,Bitcoin,BTC,-12.0354
2026-07-01,43311.596,822920323856.0,506815503.78,Bitcoin,BTC,7.4896
2026-08-01,42630.5362,809980188446.63,391241295.93,Bitcoin,BTC,-1.5725
2026-09-01,39295.6239,746616854022.69,177084226.1,Bitcoin,BTC,-7.8228
2026-10-01,43315.6809,822997937977.95,253001266.51,Bitcoin,BTC,10.2303
2026-11-01,42310.7504,803904257861.42,616155011.12,Bitcoin,BTC,-2.32
2026-12-01,38462.916,730795403695.25,198341186.88,Bitcoin,BTC,-9.0942
2014-01-01,376.5473,45185673115.97,347959111.92,Ethereum,ETH,0.0
2014-02-01,384.2992,46115903913.42,917213710.81,Ethereum,ETH,2.0587
2014-03-01,425.1886,51022629893.75,590383197.2,Ethereum,ETH,10.64
2014-04-01,366.0725,43928702318.01,699903884.6,Ethereum,ETH,-13.9035
2014-05-01,370.976,44517119059.93,846834485.95,Ethereum,ETH,1.3395
2014-06-01,437.7201,52526408360.74,607777572.16,Ethereum,ETH,17.9915
2014-07-01,437.1854,52462251841.76,545113154.09,Ethereum,ETH,-0.1221
2014-08-01,401.4125,48169501348.47,950215011.73,Ethereum,ETH,-8.1826
2014-09-01,433.0812,51969747989.5,80447644.77,Ethereum,ETH,7.8893
2014-10-01,404.6578,48558936896.54,375374932.08,Ethereum,ETH,-6.5631
2014-11-01,423.4295,50811536801.75,305490210.06,Ethereum,ETH,4.6389
2014-12-01,419.6912,50362942390.12,900566488.8,Ethereum,ETH,-0.8829
2015-01-01,445.2417,53429005606.21,148866198.94,Ethereum,ETH,6.0879
2015-02-01,419.418,50330156761.64,807595423.49,Ethereum,ETH,-5.7999
2015-03-01,445.174,53420883911.66,639059371.2,Ethereum,ETH,6.1409
2015-04-01,453.1268,54375212781.17,463990276.47,Ethereum,ETH,1.7864
2015-05-01,394.0369,47284426751.56,884455817.31,Ethereum,ETH,-13.0405
2015-06-01,407.7749,48932984106.15,55288754.79,Ethereum,ETH,3.4865
2015-07-01,422.5697,50708362221.74,289905932.39,Ethereum,ETH,3.6282
2015-08-01,426.639,51196681794.77,919689347.57,Ethereum,ETH,0.963
2015-09-01,457.8202,54938425174.88,288689978.63,Ethereum,ETH,7.3086
2015-10-01,393.4352,47212227295.31,92304016.99,Ethereum,ETH,-14.0634
2015-11-01,412.2644,49471725378.97,475672768.8,Ethereum,ETH,4.7858
2015-12-01,458.0961,54971537060.28,502900071.54,Ethereum,ETH,11.1171
2016-01-01,430.9194,51710325321.18,487866112.21,Ethereum,ETH,-5.9325
2016-02-01,472.9482,56753782826.24,352582776.81,Ethereum,ETH,9.7533
2016-03-01,404.4601,48535213926.32,468430551.52,Ethereum,ETH,-14.4811
2016-04-01,451.1727,54140723299.26,897530306.74,Ethereum,ETH,11.5494
2016-05-01,407.3084,48877002296.53,591022553.83,Ethereum,ETH,-9.7223
2016-06-01,451.7894,54214726598.53,779327675.12,Ethereum,ETH,10.9207
2016-07-01,449.3769,53925224564.63,434103968.87,Ethereum,ETH,-0.534
2016-08-01,458.3758,55005098092.69,628523142.92,Ethereum,ETH,2.0025
2016-09-01,452.376,54285114087.45,284109945.75,Ethereum,ETH,-1.3089
2016-10-01,468.3602,56203225640.4,614267771.32,Ethereum,ETH,3.5334
2016-11-01,423.5194,50822332086.6,439466369.07,Ethereum,ETH,-9.574
2016-12-01,466.8825,56025900906.57,171498360.06,Ethereum,ETH,10.2387
2017-01-01,1953.4073,234408877909.27,830397965.59,Ethereum,ETH,318.3938
2017-02-01,1922.9371,230752451561.73,476173866.71,Ethereum,ETH,-1.5598
2017-03-01,2119.9583,254394996742.31,502815988.99,Ethereum,ETH,10.2458
2017-04-01,2113.5325,253623898322.26,566319752.36,Ethereum,ETH,-0.3031
2017-05-01,1917.8395,230140739357.33,206098443.49,Ethereum,ETH,-9.259
2017-06-01,2017.0608,242047295235.2,984842230.2,Ethereum,ETH,5.1736
2017-07-01,2173.5011,260820131450.84,332519403.29,Ethereum,ETH,7.7559
2017-08-01,1953.0468,234365621448.67,291349353.62,Ethereum,ETH,-10.1428
2017-09-01,2108.7645,253051740474.12,40460440.86,Ethereum,ETH,7.9731
2017-10-01,2068.46,248215202104.97,665744758.84,Ethereum,ETH,-1.9113
2017-11-01,2077.5274,249303289157.2,601254746.29,Ethereum,ETH,0.4384
2017-12-01,2173.5634,260827606740.93,822160671.1,Ethereum,ETH,4.6226
2018-01-01,1025.3159,123037906728.1,255689824.39,Ethereum,ETH,-52.8279
2018-02-01,1057.1301,126855610804.06,387797548.46,Ethereum,ETH,3.1029
2018-03-01,942.4329,113091950651.93,230096021.04,Ethereum,ETH,-10.8499
2018-04-01,1078.0776,129369308453.17,342581778.74,Ethereum,ETH,14.393
2018-05-01,1039.868,124784162971.08,884240378.08,Ethereum,ETH,-3.5442
2018-06-01,1017.097,122051637022.98,165396963.24,Ethereum,ETH,-2.1898
2018-07-01,957.6481,114917767384.71,144972966.1,Ethereum,ETH,-5.845
2018-08-01,912.2129,109465542691.46,101519920.17,Ethereum,ETH,-4.7445
2018-09-01,956.3902,114766825557.18,255461269.69,Ethereum,ETH,4.8429
2018-10-01,1022.6597,122719162767.95,371751756.54,Ethereum,ETH,6.9291
2018-11-01,922.155,110658605728.22,138577785.11,Ethereum,ETH,-9.8278
2018-12-01,1016.3746,121964947281.44,644326800.83,Ethereum,ETH,10.2173
2019-01-01,1130.321,135638516094.91,142867557.86,Ethereum,ETH,11.2111
2019-02-01,1295.7477,155489729168.71,28117238.52,Ethereum,ETH,14.6354
2019-03-01,1274.3142,152917707138.9,780135434.14,Ethereum,ETH,-1.6541
2019-04-01,1168.5489,140225863620.47,480136550.46,Ethereum,ETH,-8.2998
2019-05-01,1279.1755,153501061997.46,936416871.14,Ethereum,ETH,9.467
2019-06-01,1276.8918,153227011104.84,703266270.38,Ethereum,ETH,-0.1785
2019-07-01,1317.8059,158136711460.91,446725813.33,Ethereum,ETH,3.2042
2019-08-01,1274.2552,152910627626.96,202411846.86,Ethereum,ETH,-3.3048
2019-09-01,1281.3158,153757900559.54,700158014.2,Ethereum,ETH,0.5541
2019-10-01,1172.1172,140654058150.5,347278036.47,Ethereum,ETH,-8.5224
2019-11-01,1283.4539,154014467556.13,236115781.94,Ethereum,ETH,9.4988
2019-12-01,1194.347,143321641235.71,896069028.22,Ethereum,ETH,-6.9427
2020-01-01,1430.4116,171649388643.0,201282443.65,Ethereum,ETH,19.7652
2020-02-01,1356.2249,162746988740.53,165575168.64,Ethereum,ETH,-5.1864
2020-03-01,1539.8707,184784487773.39,360875307.47,Ethereum,ETH,13.541
2020-04-01,1427.1811,171261736817.17,275592618.56,Ethereum,ETH,-7.3181
2020-05-01,1447.4434,173693211921.97,743123137.74,Ethereum,ETH,1.4197
2020-06-01,1348.2396,161788751899.88,997622648.5,Ethereum,ETH,-6.8537
2020-07-01,1280.1008,153612098273.37,71985636.78,Ethereum,ETH,-5.0539
2020-08-01,1398.1912,167782940498.59,912872074.84,Ethereum,ETH,9.2251
2020-09-01,1533.4144,184009731977.4,19353280.17,Ethereum,ETH,9.6713
2020-10-01,1531.8604,183823246213.9,878790448.17,Ethereum,ETH,-0.1013
2020-11-01,1361.9756,163437076147.89,57243696.54,Ethereum,ETH,-11.0901
2020-12-01,1417.9297,170151569000.44,12072590.34,Ethereum,ETH,4.1083
2021-01-01,4122.6513,494718150425.16,669885834.96,Ethereum,ETH,190.7514
2021-02-01,4189.9931,502799173101.17,67580143.16,Ethereum,ETH,1.6335
2021-03-01,3634.6282,436155381058.48,961358938.56,Ethereum,ETH,-13.2546
2021-04-01,4251.9422,510233061818.84,845842679.04,Ethereum,ETH,16.9842
2021-05-01,3821.4017,458568199541.74,181932276.93,Ethereum,ETH,-10.1257
2021-06-01,3880.9525,465714300926.88,127892026.46,Ethereum,ETH,1.5584
2021-07-01,4153.5754,498429043677.16,737237892.46,Ethereum,ETH,7.0246
2021-08-01,4003.7703,480452439537.53,296742718.0,Ethereum,ETH,-3.6067
2021-09-01,3877.8677,465344125680.58,712609209.42,Ethereum,ETH,-3.1446
2021-10-01,3869.7794,464373533279.79,305905776.89,Ethereum,ETH,-0.2086
2021-11-01,4337.4797,520497569313.99,551422006.24,Ethereum,ETH,12.086
2021-12-01,4134.1971,496103657278.13,768559737.53,Ethereum,ETH,-4.6867
2022-01-01,2252.4383,270292590693.88,789001276.07,Ethereum,ETH,-45.5169
2022-02-01,2632.7358,315928300030.55,233498621.38,Ethereum,ETH,16.8838
2022-03-01,2484.086,298090316572.31,434517450.37,Ethereum,ETH,-5.6462
2022-04-01,2502.0053,300240635762.43,987377131.37,Ethereum,ETH,0.7214
2022-05-01,2238.0047,268560561827.4,627952410.49,Ethereum,ETH,-10.5516
2022-06-01,2392.6399,287116787577.08,429230264.72,Ethereum,ETH,6.9095
2022-07-01,2230.6602,267679222532.32,260160525.05,Ethereum,ETH,-6.7699
2022-08-01,2400.3963,288047557026.56,480559553.47,Ethereum,ETH,7.6092
2022-09-01,2164.1402,259696820677.85,206643628.39,Ethereum,ETH,-9.8424
2022-10-01,2582.8511,309942132080.61,777832224.66,Ethereum,ETH,19.3477
2022-11-01,2618.6452,314237422349.12,92837835.28,Ethereum,ETH,1.3858
2022-12-01,2196.9072,263628862118.1,984702886.46,Ethereum,ETH,-16.1052
2023-01-01,2672.2982,320675788833.82,206386153.34,Ethereum,ETH,21.6391
2023-02-01,2941.1615,352939378443.19,591402385.12,Ethereum,ETH,10.0611
2023-03-01,2726.716,327205925414.24,231258177.56,Ethereum,ETH,-7.2912
2023-04-01,3068.2311,368187736655.47,991567080.72,Ethereum,ETH,12.5248
2023-05-01,2867.0626,344047515892.33,693626524.89,Ethereum,ETH,-6.5565
2023-06-01,2933.2533,351990401299.42,895654147.97,Ethereum,ETH,2.3087
2023-07-01,2870.2885,344434616956.6,267399248.84,Ethereum,ETH,-2.1466
2023-08-01,2802.6679,336320150986.8,533821509.07,Ethereum,ETH,-2.3559
2023-09-01,2761.6915,331402984632.45,774528334.83,Ethereum,ETH,-1.462
2023-10-01,2987.5543,358506511224.78,894364995.8,Ethereum,ETH,8.1784
2023-11-01,2881.2355,345748256679.85,433041517.58,Ethereum,ETH,-3.5587
2023-12-01,2953.7316,354447787232.73,680012649.25,Ethereum,ETH,2.5161
2024-01-01,3030.702,363684237320.34,545133947.27,Ethereum,ETH,2.6059
2024-02-01,3055.6599,366679182088.69,686694355.1,Ethereum,ETH,0.8235
2024-03-01,3299.3332,395919981359.77,263513041.0,Ethereum,ETH,7.9745
2024-04-01,3012.9688,361556251503.0,572102743.08,Ethereum,ETH,-8.6795
2024-05-01,3059.289,367114677079.38,108481903.56,Ethereum,ETH,1.5374
2024-06-01,2886.2689,346352273177.23,660003944.47,Ethereum,ETH,-5.6556
2024-07-01,3282.3721,393884653479.7,756396195.91,Ethereum,ETH,13.7237
2024-08-01,3063.2664,367591964243.23,460525446.93,Ethereum,ETH,-6.6752
2024-09-01,2805.2393,336628712129.19,625878873.85,Ethereum,ETH,-8.4233
2024-10-01,3295.8619,395503422579.34,445527161.22,Ethereum,ETH,17.4895
2024-11-01,2810.6589,337279070502.89,259549795.46,Ethereum,ETH,-14.7216
2024-12-01,2931.312,351757440254.31,7844646.55,Ethereum,ETH,4.2927
2025-01-01,3213.9689,385676263888.5,717959471.84,Ethereum,ETH,9.6427
2025-02-01,3021.5926,362591117249.83,788807970.35,Ethereum,ETH,-5.9856
2025-03-01,2890.5866,346870397776.04,454650440.29,Ethereum,ETH,-4.3357
2025-04-01,3354.1518,402498215373.78,877290480.91,Ethereum,ETH,16.0371
2025-05-01,3231.939,387832677806.67,431291980.66,Ethereum,ETH,-3.6436
2025-06-01,2952.7132,354325586360.51,398266579.06,Ethereum,ETH,-8.6396
2025-07-01,2984.0331,358083972193.82,855500008.01,Ethereum,ETH,1.0607
2025-08-01,3029.1889,363502667301.32,153104842.16,Ethereum,ETH,1.5132
2025-09-01,3492.5017,419100206667.47,87547557.51,Ethereum,ETH,15.2949
2025-10-01,2971.4399,356572789511.46,765325477.7,Ethereum,ETH,-14.9194
2025-11-01,2956.2598,354751178456.4,227739075.82,Ethereum,ETH,-0.5109
2025-12-01,3035.0456,364205474886.01,128545525.08,Ethereum,ETH,2.6651
2026-01-01,3271.6437,392597243949.2,632476228.74,Ethereum,ETH,7.7955
2026-02-01,3201.5038,384180451745.61,614634206.59,Ethereum,ETH,-2.1439
2026-03-01,3736.4436,448373236957.5,822134795.36,Ethereum,ETH,16.709
2026-04-01,3529.6485,423557820850.44,423782565.63,Ethereum,ETH,-5.5345
2026-05-01,3515.9091,421909097918.51,952877897.45,Ethereum,ETH,-0.3893
2026-06-01,3326.2407,399148880556.83,835568198.96,Ethereum,ETH,-5.3946
2026-07-01,3738.8167,448658003267.27,601756639.02,Ethereum,ETH,12.4037
2026-08-01,3515.938,421912554320.74,403173385.01,Ethereum,ETH,-5.9612
2026-09-01,3601.2456,432149473932.54,1088037.74,Ethereum,ETH,2.4263
2026-10-01,3277.3003,393276034424.0,95433172.82,Ethereum,ETH,-8.9954
2026-11-01,3410.4714,409256571424.69,304139336.27,Ethereum,ETH,4.0634
2026-12-01,3199.1912,383902941706.19,552685459.64,Ethereum,ETH,-6.195
2014-01-01,102.8115,16449840428.73,81838331.38,Binance Coin,BNB,0.0
2014-02-01,101.3323,16213168552.3,723745072.22,Binance Coin,BNB,-1.4387
2014-03-01,99.748,15959676900.47,865656036.67,Binance Coin,BNB,-1.5635
2014-04-01,107.5077,17201224562.85,663386332.0,Binance Coin,BNB,7.7793
2014-05-01,91.6195,14659118081.69,947419819.41,Binance Coin,BNB,-14.7786
2014-06-01,92.0765,14732244803.66,158526877.65,Binance Coin,BNB,0.4988
2014-07-01,100.1754,16028061355.08,971843098.32,Binance Coin,BNB,8.7958
2014-08-01,102.1505,16344083459.13,627880978.59,Binance Coin,BNB,1.9717
2014-09-01,96.4271,15428336865.52,667159297.24,Binance Coin,BNB,-5.6029
2014-10-01,105.588,16894075751.5,441208138.64,Binance Coin,BNB,9.5003
2014-11-01,97.8138,15650209761.72,766959675.51,Binance Coin,BNB,-7.3627
2014-12-01,100.4742,16075866422.06,118682420.3,Binance Coin,BNB,2.7198
2015-01-01,100.0025,16000392887.5,83011191.92,Binance Coin,BNB,-0.4695
2015-02-01,105.2843,16845487038.37,995695680.78,Binance Coin,BNB,5.2817
2015-03-01,98.9252,15828026718.93,289281136.26,Binance Coin,BNB,-6.04
2015-04-01,106.1189,16979029172.91,351375411.83,Binance Coin,BNB,7.2719
2015-05-01,112.4335,17989360040.96,404464013.92,Binance Coin,BNB,5.9505
2015-06-01,97.1508,15544129046.97,435961705.18,Binance Coin,BNB,-13.5927
2015-07-01,103.5261,16564176352.5,291067794.49,Binance Coin,BNB,6.5623
2015-08-01,104.0384,16646147534.07,225760349.09,Binance Coin,BNB,0.4949
2015-09-01,107.8049,17248780555.1,587942085.73,Binance Coin,BNB,3.6203
2015-10-01,115.2207,18435314796.86,580964906.06,Binance Coin,BNB,6.8789
